date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d
2016-09-19,ad_id_fac74,-0.02179798122956253,0.04040036168658918,-0.5395491604422524,0.5896291894532708,-0.10107806232923827,0.05748209987011321,991,general_vote_DT,74,Movement,Pro Trump,trump,TRUE,FALSE,target_candidate,0,1,0,0,0,0,1,0,0,46.71594798083505,-0.8823529411764706,0,-0.058823529411764705,0,0.9411764705882353,0,0,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,0.030438458751056885,-0,-0.029476895239313277
2016-09-19,ad_id_fac75,0.006170897747070386,0.03849626403798361,-0.16029861341821808,0.8726785188256533,0.08171445249645702,-0.06937265700231625,991,general_vote_DT,75,Families,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.71594798083505,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.030438458751056885,0,9.615635117436057e-4
2016-09-26,ad_id_fac63,0.02319179913138264,0.047012427480737175,-0.49331209584710817,0.6219366876202992,0.11548360080621241,-0.06910000254344713,749,general_vote_DT,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.73511293634497,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.049603414260978695,0,0.0032162641599697015
2016-10-03,ad_id_fac66,0.0177855614836738,0.04525662148103158,-0.3929935753407547,0.6944378715151203,0.10663281808011557,-0.07106169511276797,737,general_vote_DT,66,Arrogant,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.75427789185489,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.0687683697709005,0,0.005470964808195798
2016-10-10,ad_id_fac8,-0.01722490106539349,0.03867201510478372,0.4454099694241889,0.6561209848129461,0.0586637283235829,-0.09311353045436987,989,general_vote_DT,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.77344284736482,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,1,0.8235294117647058,0.08793332528082942,0,0.00772566545642273
2016-10-10,ad_id_fac63,0.021313784509354894,0.03631737149026229,-0.5868757466401366,0.5574210969581807,0.09258174243548237,-0.04995417341677258,989,general_vote_DT,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.77344284736482,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.08793332528082942,0,0.00772566545642273
2016-10-17,ad_id_fac68,0.036822638884731126,0.03654147206172139,-1.0076944580266176,0.3139301037702427,0.10855978167243423,-0.034914503902971974,741,general_vote_DT,68,America's Bullies,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.79260780287474,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.10709828079075123,0,0.009980366104648825
2016-10-24,ad_id_fac70,0.013157609588207969,0.04195539718383336,-0.3136094631771948,0.7539073823207307,0.09552542904759866,-0.06921020987118272,729,general_vote_DT,70,Captain Khan,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.81177275838467,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.12626323630068015,0,0.012235066752875758
2016-10-31,ad_id_fac71,0.09700839445682599,0.03847489058473512,-2.521342958550582,0.011897495008093405,0.17254001120085133,0.02147677771280064,748,general_vote_DT,71,Example,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.83093771389459,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.14542819181060196,0,0.014489767401101854
2016-10-31,ad_id_fac72,-0.08431371587555977,0.03867546944583056,-2.180030833074976,0.029566258064169525,-0.16023909710943723,-0.008388334641682316,748,general_vote_DT,72,Consumer Benefit,Pro Trump,trump,TRUE,FALSE,target_candidate,0,1,0,0,0,0,1,0,0,46.83093771389459,-0.8823529411764706,0,-0.058823529411764705,0,0.9411764705882353,0,0,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,0.14542819181060196,-0,-0.13093842440950013
2016-11-07,ad_id_fac77,0.03975156934133738,0.04058478056152215,-0.979469860162932,0.327666682349966,0.11942606554124996,-0.0399229268585752,743,general_vote_DT,77,Daughters,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.85010266940452,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.16459314732053087,0,0.016744468049328786
