subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
567,2,59,1,1,NA,3,NA,NA,targeting,targeting,naive,cov_profile_1,cov_profile_2,NA,0,NA,4,control
567,2,59,1,1,NA,3,NA,NA,targeting,targeting,naive,cov_profile_1,cov_profile_2,NA,1,NA,4,control
568,2,72,3,NA,NA,2,NA,2,naive,targeting,targeting,NA,cov_profile_1,cov_profile_1,0,0,2,control
568,2,72,3,NA,NA,2,NA,2,naive,targeting,targeting,NA,cov_profile_1,cov_profile_1,1,NA,7,control
568,2,72,3,NA,NA,2,NA,2,naive,targeting,targeting,NA,cov_profile_1,cov_profile_1,1,NA,6,control
569,2,33,1,2,NA,1,2,NA,single_best,single_best,single_best,NA,NA,NA,0,0,5,control
569,2,33,1,2,NA,1,2,NA,single_best,single_best,single_best,NA,NA,NA,0,NA,7,control
569,2,33,1,2,NA,1,2,NA,single_best,single_best,single_best,NA,NA,NA,0,NA,1,control
570,2,58,1,1,NA,1,1,NA,targeting,control,targeting,cov_profile_3,NA,cov_profile_2,1,0,5,control
570,2,58,1,1,NA,1,1,NA,targeting,control,targeting,cov_profile_3,NA,cov_profile_2,1,NA,1,control
570,2,58,1,1,NA,1,1,NA,targeting,control,targeting,cov_profile_3,NA,cov_profile_2,0,NA,6,control
571,2,62,3,NA,NA,4,NA,NA,single_best,control,single_best,NA,NA,NA,0,1,4,video
571,2,62,3,NA,NA,4,NA,NA,single_best,control,single_best,NA,NA,NA,0,NA,1,video
571,2,62,3,NA,NA,4,NA,NA,single_best,control,single_best,NA,NA,NA,0,NA,6,video
572,2,75,3,NA,NA,2,NA,1,targeting,single_best,single_best,cov_profile_1,NA,NA,1,0,3,control
572,2,75,3,NA,NA,2,NA,1,targeting,single_best,single_best,cov_profile_1,NA,NA,0,NA,5,control
572,2,75,3,NA,NA,2,NA,1,targeting,single_best,single_best,cov_profile_1,NA,NA,0,NA,5,control
573,2,56,1,1,NA,3,NA,NA,targeting,single_best,naive,cov_profile_3,NA,NA,1,1,4,video
573,2,56,1,1,NA,3,NA,NA,targeting,single_best,naive,cov_profile_3,NA,NA,0,NA,7,video
573,2,56,1,1,NA,3,NA,NA,targeting,single_best,naive,cov_profile_3,NA,NA,0,NA,4,video
574,2,41,1,1,NA,1,1,NA,single_best,targeting,single_best,NA,cov_profile_1,NA,0,1,4,video
574,2,41,1,1,NA,1,1,NA,single_best,targeting,single_best,NA,cov_profile_1,NA,0,NA,3,video
574,2,41,1,1,NA,1,1,NA,single_best,targeting,single_best,NA,cov_profile_1,NA,1,NA,4,video
575,2,67,3,NA,NA,3,NA,NA,targeting,targeting,naive,cov_profile_1,cov_profile_3,NA,1,0,3,control
575,2,67,3,NA,NA,3,NA,NA,targeting,targeting,naive,cov_profile_1,cov_profile_3,NA,0,NA,6,control
575,2,67,3,NA,NA,3,NA,NA,targeting,targeting,naive,cov_profile_1,cov_profile_3,NA,1,NA,6,control
576,2,53,3,NA,NA,3,NA,NA,single_best,single_best,single_best,NA,NA,NA,0,0,3,control
576,2,53,3,NA,NA,3,NA,NA,single_best,single_best,single_best,NA,NA,NA,0,NA,6,control
576,2,53,3,NA,NA,3,NA,NA,single_best,single_best,single_best,NA,NA,NA,0,NA,6,control
577,2,62,1,2,NA,3,NA,NA,single_best,targeting,single_best,NA,cov_profile_2,NA,0,0,3,control
577,2,62,1,2,NA,3,NA,NA,single_best,targeting,single_best,NA,cov_profile_2,NA,0,NA,4,control
577,2,62,1,2,NA,3,NA,NA,single_best,targeting,single_best,NA,cov_profile_2,NA,1,NA,7,control
578,2,55,2,NA,2,1,2,NA,targeting,naive,targeting,cov_profile_3,NA,cov_profile_3,1,0,5,control
578,2,55,2,NA,2,1,2,NA,targeting,naive,targeting,cov_profile_3,NA,cov_profile_3,1,NA,7,control
578,2,55,2,NA,2,1,2,NA,targeting,naive,targeting,cov_profile_3,NA,cov_profile_3,0,NA,4,control
579,2,50,3,NA,NA,2,NA,1,targeting,single_best,control,cov_profile_2,NA,NA,1,1,4,video
579,2,50,3,NA,NA,2,NA,1,targeting,single_best,control,cov_profile_2,NA,NA,0,NA,2,video
579,2,50,3,NA,NA,2,NA,1,targeting,single_best,control,cov_profile_2,NA,NA,0,NA,1,video
580,2,59,3,NA,NA,2,NA,2,single_best,targeting,single_best,NA,cov_profile_1,NA,0,0,2,control
580,2,59,3,NA,NA,2,NA,2,single_best,targeting,single_best,NA,cov_profile_1,NA,0,NA,6,control
580,2,59,3,NA,NA,2,NA,2,single_best,targeting,single_best,NA,cov_profile_1,NA,1,NA,5,control
581,2,59,1,1,NA,1,1,NA,targeting,naive,naive,cov_profile_2,NA,NA,1,1,3,video
581,2,59,1,1,NA,1,1,NA,targeting,naive,naive,cov_profile_2,NA,NA,0,NA,5,video
581,2,59,1,1,NA,1,1,NA,targeting,naive,naive,cov_profile_2,NA,NA,0,NA,4,video
582,2,65,1,1,NA,3,NA,NA,targeting,single_best,naive,cov_profile_3,NA,NA,1,0,3,control
582,2,65,1,1,NA,3,NA,NA,targeting,single_best,naive,cov_profile_3,NA,NA,0,NA,7,control
582,2,65,1,1,NA,3,NA,NA,targeting,single_best,naive,cov_profile_3,NA,NA,0,NA,4,control
583,2,74,2,NA,1,2,NA,1,targeting,naive,single_best,cov_profile_1,NA,NA,1,1,5,video
583,2,74,2,NA,1,2,NA,1,targeting,naive,single_best,cov_profile_1,NA,NA,0,NA,7,video
583,2,74,2,NA,1,2,NA,1,targeting,naive,single_best,cov_profile_1,NA,NA,0,NA,1,video
584,2,78,1,1,NA,1,1,NA,targeting,single_best,targeting,cov_profile_2,NA,cov_profile_2,1,0,4,control
584,2,78,1,1,NA,1,1,NA,targeting,single_best,targeting,cov_profile_2,NA,cov_profile_2,1,NA,7,control
584,2,78,1,1,NA,1,1,NA,targeting,single_best,targeting,cov_profile_2,NA,cov_profile_2,0,NA,1,control
585,2,40,3,NA,NA,2,NA,1,targeting,single_best,control,cov_profile_3,NA,NA,1,1,5,video
585,2,40,3,NA,NA,2,NA,1,targeting,single_best,control,cov_profile_3,NA,NA,0,NA,4,video
585,2,40,3,NA,NA,2,NA,1,targeting,single_best,control,cov_profile_3,NA,NA,0,NA,6,video
586,2,71,2,NA,1,2,NA,2,targeting,control,targeting,cov_profile_2,NA,cov_profile_2,1,1,5,video
586,2,71,2,NA,1,2,NA,2,targeting,control,targeting,cov_profile_2,NA,cov_profile_2,1,NA,5,video
